state2,state,race,lf7,lf13,punemp1,punemp4,punemp7,punemp13
Vermont,Vermont,5,,,6.5,6.3,,
Vermont,Vermont,9,,,6.2,6.1,,
Vermont,Vermont,7,,,5.8,5.7,,
Vermont,Vermont,5,,,5.1,4.9,,
Vermont,Vermont,4,,,4.3,4.2,,
Vermont,Vermont,6,,,4.2,4.2,,
Vermont,Vermont,11,,,3.6,3.6,,
Vermont,Vermont,7,,,3.3,3.2,,
Vermont,Vermont,8,,,3.1,2.9,,
Virginia,Virginia,1298,728,288,6.6,5.4,11.2,8.1
Virginia,Virginia,1243,762,280,7.5,6.5,11.2,6.9
Virginia,Virginia,1280,780,315,6.5,5.3,11.3,5.8
Virginia,Virginia,1161,762,284,6,5,9.9,3.3
Virginia,Virginia,1177,776,302,5.6,4.6,9.6,5.2
Virginia,Virginia,1155,793,339,5.2,4.5,8.199999999999999,6.1
Virginia,Virginia,1068,780,373,4.5,3.6,7.9,6
Virginia,Virginia,1069,792,394,4.1,3.1,7.1,3.2
Virginia,Virginia,966,835,411,3.7,3,6.2,4.5
Washington,Washington,371,120,300,9,8.800000000000001,12.9,12.3
Washington,Washington,357,107,315,10.2,9.699999999999999,21.1,15.8
Washington,Washington,432,106,291,9.4,9.1,19.3,14.8
Washington,Washington,325,124,324,8.300000000000001,8.300000000000001,14.7,11.2
Washington,Washington,366,113,341,7,6.7,14.2,8.800000000000001
Washington,Washington,352,125,387,6.3,5.6,13.8,9
Washington,Washington,400,139,442,5.6,5.3,8.9,6.1
Washington,Washington,419,149,451,5.5,5.3,6.1,7.6
Washington,Washington,384,151,493,4.6,4.4,5.6,5.1
West Virginia,West Virginia,28,30,11,8,7.9,8.4,6.7
West Virginia,West Virginia,35,28,,9,8.5,18.9,
West Virginia,West Virginia,38,29,,8.1,7.5,21.5,
